Tweet,Target 1,Stance 1,set
But how do you convince a third of the population to surrender their right to bear arms ?,gun control,AGAINST,train
Fifty-nine percent chose the response “ Against the law . ”,gun control,NONE,train
"In 1993 the Centers for Disease Control ( CDC ) funded a study completed by Arthur Kellerman and colleagues , published in the New England Journal of Medicine , titled "" Gun Ownership as a Risk Factor in the Home , "" which found that keeping a gun at home increased the risk of homicide .",gun control,FAVOR,train
"This argument is simply disproven by the facts and , while it may sound realistic , it is not supported by the real life data that we have available ; this data is clear in that it indicates that gun ownership has detrimental effects on the safety of women in a household .",gun control,FAVOR,train
You do n't hunt with them in most cases and what are the odds that someone will actually try to kill you .,gun control,FAVOR,train
"The decision to allow concealed carry was , of course , a controversial one .",gun control,NONE,train
"The most recent reading was taken in mid-September by Quinnipiac University , and found Americans were evenly divided .",gun control,NONE,train
They are merely one of the tools used by the perpetrators of violence ( 26 % of violent crime in 2011 ) .,gun control,AGAINST,train
The state of “ Guntopia ” is n’t a perfect idea .,gun control,NONE,train
"Unlike many other things which may become lethal as they were not intended , guns have no alternative purpose and must be treated differently .",gun control,FAVOR,train
Have we controlled much of anything ?,gun control,AGAINST,train
If the ' reasonable ' restrictions we have allowed so far are not enough for the gun-grabbers then obviously they do n't consider the restrictions reasonable .,gun control,AGAINST,train
"In reality , however , prohibiting an act or an object does not necessarily reduce crime or violence .",gun control,AGAINST,train
"Anyone interested in the gun debate should read this book , and opponents of gun ownership have an intellectual obligation to confront the arguments . """,gun control,NONE,train
"There is , however , a steep social cost to that speculation if we allow it to block enactment of sensible policies , like universal background checks , that help to prevent dangerous people from getting guns .",gun control,FAVOR,train
"It would n’t stop all violence ( nothing will ) , but it would surely make a big dent in it without needlessly dividing the country .",gun control,FAVOR,train
“ Guns do n’t kill people … PEOPLE kill people . ”,gun control,AGAINST,train
"When I asked him the question I posed to Stephen Barton and Tom Mauser — would you , at a moment when a stranger is shooting at you , prefer to have a gun , or not ?",gun control,FAVOR,train
They just need a chance to be proven effective .,gun control,FAVOR,train
It should not escape anyone 's attention that the TYPE of ammunition being purchased costs twice the price of suitable practice ammunition .,gun control,NONE,train
Statistics are not the only thing used during a debate of the pros and cons of gun control .,gun control,NONE,train
"Suppose there were a guarantee that everyone in a church on Sunday morning were armed to the teeth — pistols , shotguns , and assault rifles , and more importantly , that they were all trained to fight back .",gun control,AGAINST,train
"Some states require a license or permit to own a gun , but most do not .",gun control,NONE,train
“ Terror gap ” legislation simply adds persons on the “ no-fly ” list and other suspected terrorists to the categories of persons who will be denied purchases from licensed dealers .,gun control,NONE,train
"There is no "" right "" answer .",gun control,NONE,train
"He also argues against the expansion of the background check system , saying the current system must first be improved , and says he opposes all restrictions on magazine capacities and gun types .",gun control,AGAINST,train
"John Lott is a national treasure . """,gun control,NONE,train
"On iTunes , I bought his 2013 fight against Max Holloway : There ’s McGregor , dazzling with witty hook kicks and punches from the future , the bruises slowly thickening Holloway ’s face like an index of stupefaction .",gun control,NONE,train
"Eventually , given time and good legislation , the number of guns on the street will decrease and become manageable again , but this will not happen without controls on gun sales .",gun control,FAVOR,train
"In Congress and in more conservative and rural states , gun control tends to be a non-starter .",gun control,NONE,train
"But when it is rejected , Libertarians are criticized as being unwilling to compromise , in the same way that the failure of over-regulated markets is typically blamed on "" free-market capitalism .",gun control,NONE,train
Snowden is not without supporters .,gun control,NONE,train
The FBI has named Chicago the nation ’s murder capital .,gun control,NONE,train
"When some states or organizations want to change the “ death culture ” or “ porn culture ” consistent with the Fourteenth or First Amendments , liberals accuse them of sending America back to the Stone Age , and Planned Parenthood or the ACLU sues .",gun control,NONE,train
"The Century 16 Cineplex in Aurora , Colorado , stands desolate behind a temporary green fence , which was raised to protect the theater from prying eyes and mischief-makers .",gun control,NONE,train
"Arizona Sheriff Richard Mack said , "" police do very little to prevent violent crime .",gun control,AGAINST,train
"But the U.K. ’s policy could not work in the U.S. because we have a Constitution , we have a Second Amendment , and we have a Supreme Court decision that guarantees the right of Americans to keep and bear arms in their home for lawful purposes .",gun control,AGAINST,train
"If the killers knew that every person in the church was armed , or that there were guards in school who possessed automatic weapons , then they would think twice before entering its premises .",gun control,AGAINST,train
"When I attended my first Tea Party in Indianapolis back in April 2009 , two of the most effective speakers were an Irish couple who had moved to the U.S. to escape usurious taxation , and who were aghast that the same thing was happening here .",gun control,NONE,train
UPDATED : Do Violent Video Games Contribute to Youth Violence ?,gun control,NONE,train
"If the government does n’t protect your right , what will ?",gun control,AGAINST,train
"But the pros can change over time on this issue , and so can the cons .",gun control,NONE,train
"So , aborting some ( preborn ) is warranted and morally acceptable because they do not have value , while aborting others ( born ) is unwarranted and immoral because they have value .",gun control,NONE,train
"One of these female permit holders stated that women "" need to be able to defend their home and defend themselves if they go out .",gun control,FAVOR,train
It ’s very hard to find an initiative that is implementable and enforceable that would make any kind of an impact on gun crime .,gun control,AGAINST,train
"Universities , more than most other institutions , are nearly unified in their prohibition of licensed concealed-carry weapons .",gun control,FAVOR,train
"“ We cherish our right to privacy , but we accept that you have to go through metal detectors before being allowed to board a plane .",gun control,FAVOR,train
"In addition , a study by criminologist Gary Kleck , PhD , concluded that "" robbery and assault victims who used a gun to resist were less likely to be attacked or to suffer an injury than those who used any other methods of self-protection . """,gun control,AGAINST,train
"That book detailed his research that found that , despite what people are often told , violent crime rates actually tend to go down when states pass “ shall-issue ” concealed-carry laws .",gun control,FAVOR,train
"But if you look at the real world , you 'll find that far from being our only hope , good guys with guns are barely any help at all .",gun control,AGAINST,train
The idea that some accountant who spent a few hours at the range would suddenly turn into Jason Bourne and take out the killer without doing more harm than good has no basis in reality .,gun control,FAVOR,train
What will happen to people like you when it fails ?,gun control,NONE,train
"Well , not exactly : according to decades of data analyzed by the Harvard School of Public Health , guns and homicides go together like Nicholas Cage and terrible movies .",gun control,FAVOR,train
"That famous line , stemming from a 1919 Supreme Court decision written by Justice Oliver Wendell Holmes , Jr. , established a rule that speech posing a “ clear and present danger ” does not enjoy constitutional protection .",gun control,NONE,train
There will always be a group that wants to do something .,gun control,NONE,train
A few is three .,gun control,NONE,train
If you think they give any thoughts about laws then you are very wrong .,gun control,NONE,train
"As our culture changes , our need to debate this issue will continue as well , and it perhaps might even get stronger with time .",gun control,NONE,train
"After all , they 're only bitter clingers .",gun control,NONE,train
Politicians often give lip service to the 2nd Amendment but then go off to Washington and vote to restrict gun ownership .,gun control,NONE,train
"Eight states have "" may issue "" laws where concealed weapon permits are approved based on the discretion of local police departments or governments .",gun control,NONE,train
"Sorry , but we ’ve seen this movie before .",gun control,NONE,train
"Make me take my shoes off before getting on a plane , just because some idiot tried to blow up his sneakers ?",gun control,NONE,train
"Often , a gun enthusiast is some combination of all of these .",gun control,NONE,train
"The media , of course , is largely to blame for turning any shooting incident into a circus .",gun control,AGAINST,train
Guns do n't kill people -- people kill people .,gun control,AGAINST,train
"In 2009 , a German high school student went on a rampage and killed 15 people .",gun control,FAVOR,train
My estimate is from seven to ten years .,gun control,NONE,train
>> gabby and i are both gun owners .,gun control,NONE,train
"Or , are the person ’s actions what justifies self-defense , not the object used ?",gun control,FAVOR,train
"He opened fire on every random person he could see , then shot himself .",gun control,FAVOR,train
The PBS NewsHour reserves the right to read on the air and/or publish on its website or in any medium now known or unknown the comments or emails that we receive .,gun control,NONE,train
"Your coping mechanism is pathetic , and nobody ’s fooled by your playing dumb about it .",gun control,NONE,train
"The gun control debate did not reach fever pitch , however , until a German high school student initiated a very similar rampage the next day in Winnenden , Baden-Wurttemberg , in southwestern Germany .",gun control,NONE,train
Alcohol kills more people than guns do ( 88K/yr http://www.cdc.gov/alcohol/fact-sheets/alcohol-use.htm ) ; and causes vastly more suffering .,gun control,AGAINST,train
"I left the theater and drove into Denver , to meet a man named Tom Mauser , who lost a son in the 1999 massacre at Columbine High School , 19 miles from the Aurora theater .",gun control,NONE,train
"As opposed to the United States , which has high levels of guns and low levels of gun control , these countries have high levels of both gun control and gun ownership .",gun control,FAVOR,train
"Given how Lott has spent his career , I ’m not surprised this is such an important book .",gun control,NONE,train
10 years after that the same logic could be applied to anyone under about 40 .,gun control,NONE,train
If you where at the store and a man with a gun comes in will you be afraid ?,gun control,NONE,train
"— CHARLES J. GOETZ , Joseph M. Hartfield Professor of Law Emeritus , University of Virginia School of Law "" John R. Lott is a role model for those who do scientific research on important problems .",gun control,NONE,train
"Taking a conceptual cue from James Madison ’s “ Memorial and Remonstrance ” ( a 1785 missive opposing a proposal for a tax to support a Christian school ) , where the founding father warned that “ it is proper to take alarm at the first experiment with our liberties , ” Republicans decry Obama ’s moves as the first step of a “ gun-grabbing agenda . ”",gun control,AGAINST,train
"Any subsequent military invasion — probably armed with AK-47 variants — would find it very easy to overrun civilians armed only with lever , bolt , and pump action weapons .",gun control,AGAINST,train
This is a contradiction in right-control .,gun control,NONE,train
"On December 7 , 1993 , a bitter and unstable man named Colin Ferguson boarded an eastbound Long Island Rail Road train at the Jamaica , Queens , station .",gun control,NONE,train
"Articles like this are mouthpieces of a totalitarian government , that wants us all to willingly put our heads in the noose and hope for the best .",gun control,AGAINST,train
But they are n't .,gun control,NONE,train
nba 's ron mott covering this story for us .,gun control,NONE,train
"But that ’s all they ’d extended it to : there ’s no constitutional “ right ” to carry a concealed weapon , no “ right ” to use armor-piercing bullets — just the right to defend yourself against intruders .",gun control,FAVOR,train
They understand that the government/police have no duty to protect you as an individual ( and in reality can not ) .,gun control,AGAINST,train
That we wo n’t be sitting ducks the next time some deranged lunatic has a bad day or decides his coworkers are infidels ?,gun control,AGAINST,train
Where are the other soldiers ?,gun control,NONE,train
Another popular proposed policy is mandating background checks for private sales .,gun control,FAVOR,train
That would be impossible .,gun control,NONE,train
"Last week , I announced I would join efforts to filibuster any gun control proposals that seek to restrict the rights of Americans who have never violated the law ... Current gun control proposals being discussed by Washington Democrats – by the admission of their own authors – would not have stopped the tragedies in Newtown or Aurora ... any effective plan to deal with future violence must focus on addressing mental illness and identifying those Americans who should be forbidden to own guns .",gun control,FAVOR,train
He used four handguns .,gun control,NONE,train
The case for the Second Amendment has classically been one of protection from a tyrannical government ; the Founders knew well the need for such an insurance policy .,gun control,AGAINST,train
"Indeed , illegal drug overdose is the leading cause of death in America ( a study released by the Drug Enforcement Agency found that overdose death is the leading cause of injury death in the United States , over vehicles and firearms ) .",gun control,NONE,train
But it 's the truth that lies beneath all their other arguments .,gun control,NONE,train
I ’d point out that improved access to mental health care would help both problems and it would be nice if progressives would take the right-wing up on their ( surely temporary ) willingness to increase funding for mental health and substance abuse services rather than fighting them on “ principle ” .,gun control,AGAINST,train
"But in no way do I think we should restrict the rights , particularly the rights of law abiding citizens to have guns .",gun control,AGAINST,train
"Carrying a concealed handgun in public is permitted in all 50 states as of 2013 , when Illinois became the last state to enact concealed carry legislation .",gun control,NONE,train
Armed civilians help take out the bad guys .,gun control,AGAINST,train
"I personally know a whole pile of gun owners from diverse regions in the US , and while it 's true that "" everyone "" might be an overstatement , based on my sampling of those folks , John 's estimate of the overall gun-owner response is much closer to the truth than yours .",gun control,NONE,train
"Because our country ’s gun laws vary based upon state politics , there is the potential for a few gun-friendly states to undercut the ability of all other states to control the flow of guns within their borders .",gun control,FAVOR,train
It is an unexamined assumption on the part of gun-control activists that the possession of a firearm by a law-abiding person will almost axiomatically cause that person to fire it at another human being in a moment of stress .,gun control,AGAINST,train
This is one of the reasons why we need the 2nd Amendment !,gun control,AGAINST,train
Even the most heart-wrenching acts of gun violence are now so ordinary and routine that writing a timely article about the subject has become almost impossible .,gun control,FAVOR,train
Criminals are more likely to carry a gun if they suspect that victims may also be armed .,gun control,NONE,train
"But maybe we could try to stop one act of evil , one act of violence .",gun control,FAVOR,train
“ Some people say they are against gay marriage because they think it leads to worse outcomes for kids .,gun control,NONE,train
"“ Smart , ” Sanders replied .",gun control,NONE,train
"All schools must be turned into a gun free zone like the one at Sandy Hook was when 20 young children were shot dead , including the one that President Obama ’s children attend .",gun control,FAVOR,train
Privately held guns would not be a match to our military 's advanced weapons .,gun control,FAVOR,train
"But there are n't mass shootings every few weeks in England or Costa Rica or Japan , and the reason is that people in those places who have these impulses do n't have an easy way to access lethal weapons and unlimited ammunition .",gun control,FAVOR,train
And gun control does n’t work – the empirical data overwhelmingly demonstrate that strict gun-control laws consistently produce more crime and more murders .,gun control,AGAINST,train
And those who do are just your counterbalance on the far left … the 80 % of us in the middle ( between the nuts on both ends ) would just like to get shot at a little less .,gun control,FAVOR,train
"Not many people are on the fence about this issue , which makes it something that perhaps will be debated for some time .",gun control,NONE,train
Below is a list of my most frequently fired shots : the rounds I keep in my chamber for the daily firefight that is being a ( somewhat ) sensible gun enthusiast .,gun control,NONE,train
Countries with tighter gun control laws have far less violence and fewer deaths .,gun control,FAVOR,train
Paris and San Bernardino show us that gun-free zones wo n’t stop terrorists .,gun control,AGAINST,train
"Is our government stupid enough to pay double for ammunition ostensibly purchased in bulk as a "" cost-saving "" measure ?",gun control,NONE,train
One need look only at the history of smoking or of car safety to see that this is so .,gun control,NONE,train
"But , maybe someday … yeah , a world that does n’t need killing machines might not be such a terrible thing .",gun control,NONE,train
"No , crimes happen regardless of the control .",gun control,AGAINST,train
Five women a day are killed by guns in America .,gun control,FAVOR,train
"In the US , the number of intentional homicides in 2004 was 10,654 — a number that would have been much lower without access to guns , but still terribly high .",gun control,FAVOR,train
But firearms are far more often used for community-destroying crime than they are for individual self-defense .,gun control,FAVOR,train
"After Colorado enacted new gun controls , in 2013 , gun rights groups succeeded in recalling two Democratic state senators who had voted for the measures , including the Senate leader .",gun control,NONE,train
Maybe it ’s possible to distract a heavily armed psychotic by throwing a pencil at him .,gun control,AGAINST,train
Mom Who Beat Teen Daughter on Facebook ' Live ' Has No Charges Filed Against Her – Did She Go Too Far ?,gun control,NONE,train
"They are prepared for war and their sights are on you , me , your family , and mine .",gun control,FAVOR,train
"People in the UK are n't afraid because they do n't have a gun , and most people in the UK do n't want a gun .",gun control,FAVOR,train
"Instead , it has been repeatedly violated .",gun control,NONE,train
"Overwhelming majorities support universal background checks , and steps to keep guns out of the hands of mentally ill people .",gun control,FAVOR,train
"But as we have said , the conception of the militia at the time of the Second Amendment ’s ratification was the body of all citizens capable of military service , who would bring the sorts of lawful weapons that they possessed at home to militia duty .",gun control,AGAINST,train
I am not here to put forward novel thoughts or radical solutions to tackle the issue .,gun control,NONE,train
"In 1997 , it rose to 1.24 .",gun control,NONE,train
They are willing dupes .,gun control,NONE,train
"There ’s no universal registry of firearms , so if the police were to arrest somebody and try to prosecute whoever sold them their gun without the required check , there ’s no way to verify who the seller was or when the sale took place .",gun control,FAVOR,train
"West Virginia University advises students that if the situation is dire , they should “ act with physical aggression and throw items at the active shooter . ”",gun control,NONE,train
Let 's take a different approach to reducing gun related violence .,gun control,NONE,train
"The war would probably not be fought in as open a form as the previous Civil War , but those who refuse to relinquish their firearms would engage in guerrilla warfare and splinter cell terrorism .",gun control,FAVOR,train
"Lott 's scientific approach is the opposite of the advocacy research that fills many academic journals , and which the media delight in reporting .",gun control,NONE,train
In order to navigate out of this carousel please use your heading shortcut key to navigate to the next or previous heading .,gun control,NONE,train
Check which books I 'm taking out of the library ?,gun control,NONE,train
I consciously look for stories that deal with guns .,gun control,NONE,train
" Parents , like the mother who tried to intervene , deserve an effective tool they can act on to help prevent tragedies ,  Skinner said .",gun control,FAVOR,train
Boulder was one of the first cities to declare itself a nuclear free zone .,gun control,NONE,train
Because the chance of accidental collateral damage will just go higher .,gun control,FAVOR,train
You ca n’t argue with someone who is lying about his position or whose position is not based upon reason .,gun control,NONE,train
The people who say this are the same ones who fight to make sure that existing laws are as weak and ineffectual as possible .,gun control,NONE,train
Is this one of the best arguments for gun control ?,gun control,NONE,train
"Even more worrying , people who committed suicide were found to be seventeen times more likely to live with guns at home than not .",gun control,FAVOR,train
"Unfortunately , decades of lax gun laws have caused our society to be flooded by weapons and , even if gun seller restrictions were to implemented , there will still be a supply of guns .",gun control,FAVOR,train
"Here ’s the rather obvious problem with such thinking : Firearms are more lethal than knives , machetes and hammers .",gun control,FAVOR,train
If one or more victims of the Ft. Hood shooting had been armed I can guarantee the results would have not been the same .,gun control,AGAINST,train
"The issue of gun control is global , but since it is most controversial in the United States of America , that nation is referred to most in the following entries .",gun control,NONE,train
But many Americans remain passionate about the Second Amendment .,gun control,AGAINST,train
Rational Americans in all walks of life will be confronted with these kinds of arguments .,gun control,NONE,train
It 's just unfortunately close to all the gun-grabbers ) .,gun control,NONE,train
"The second side would counter with gun control statistics , potentially pointing to the rise in gun deaths from violence and accidents when gun control laws are lax .",gun control,FAVOR,train
Listen … very FEW people would really erase the 2A today if they could .,gun control,NONE,train
They considered the general LIMITATION of government to be the most important factor in preserving the people 's liberty .,gun control,AGAINST,train
And some rural sheriffs have simply refused to enforce new controls .,gun control,NONE,train
"One reason is that in the aftermath of the 1995 Oklahoma City bombing , federal legislation made it more difficult for consumers to obtain bomb-making ingredients and easier for law enforcement to monitor purchases .",gun control,NONE,train
"5 You 'd actually be more likely , statistically speaking , to shoot someone by accident than you are to shoot a home invader .",gun control,FAVOR,train
"Those changes have vast support among Republicans and Democrats , and gun owners and non-owners alike .",gun control,NONE,train
I am a 2nd amendment person .,gun control,NONE,train
"A version of this editorial appears in print on February 28 , 2016 , on page SR8 of the New York edition with the headline : The Sound of Gunfire , but No Debate .",gun control,NONE,train
The most popular handgun in the US is the Glock 17 with a STANDARD magazine capacity of 17 rounds and with a magazine extension the capacity is 19 rounds which is what many police carry .,gun control,NONE,train
DO NOT drive through New Jersey and avoid New York as much as possible .,gun control,NONE,train
"Read new responses to this question from the American Psychological Association ( pro ) , the Entertainment Software Association ( con ) , US Representative Frank Wolf ( pro ) , and former CEO of Electronic Arts John Riccitiello ( con ) , amongst others .",gun control,NONE,train
"As a progressive supporter of the 2nd amendment , I thought this executive order was a sensible set of measures and a great example of how this issue can be approached thoughtfully and without divisive drama .",gun control,FAVOR,train
"But if they do come out to indicate tighter scrutiny for handing out guns could have helped , will we act then ?",gun control,NONE,train
And it is one that richer communities do not have to face .,gun control,NONE,train
"However , on the contrary , there are very few instances where an armed civilian has managed to help subdue a killer .",gun control,FAVOR,train
"The pros and cons of gun control are talked about at great length in the nation ’s teachers ’ lounges , parent teacher conferences , school halls and even living rooms .",gun control,NONE,train
"It was n’t so long ago that headlines were filled with a federal operation known as “ Fast and Furious , ” in which the very same administration that proselytizes regulating a particular class of rifle was caught red-handed supplying Mexican gangsters with those very weapons .",gun control,AGAINST,train
The first was “ inherit . ”,gun control,NONE,train
"While the odds of this occurring at CU are small , the consequences are so potentially catastrophic it makes sense for all students , staff , faculty and visitors to CU to consider the possibility of such an incident occurring here .",gun control,NONE,train
"In 2013 , Senator Sanders voted in favor of a ban on assault weapons and high-capacity magazines . ]",gun control,NONE,train
"Martin is telling tales of characters the show ’s viewers will never meet , on quests that will never make it to the screen .",gun control,NONE,train
"Even if one concedes that guns have been a large component of our country ’s heritage , this is irrelevant in the face of the very real harm that guns are doing today ; in order to stop this harm , our culture must be updated .",gun control,FAVOR,train
"Legally , the debates often come down to the Second Amendment , whose 18th century context and language have been endlessly parsed and debated : “ A well regulated militia being necessary to the security of a free state , the right of the people to keep and bear arms shall not be infringed . ”",gun control,NONE,train
"He fully discloses his analysis , and responds to critics by conducting further research .",gun control,NONE,train
"For example , nearly 2/3 of gun deaths are suicides ; conservatives ( currently and likely temporarily ) claim willingness to improve mental health access .",gun control,FAVOR,train
Follow us on YouTube .,gun control,NONE,train
Another problem with background checks is surveys of inmates show overwhelmingly that criminals obtain guns on the black market or the grey market .,gun control,AGAINST,train
"Any “ reasonable compromise ” would simply be a first step in a long campaign to make firearm ownership as difficult , expensive , and legally risky as possible .",gun control,AGAINST,train
"Of course , to say that the social science is settled is exactly not to say that one or two authority figures are in dogmatic possession of the truth — that ’s not what makes it science — but that a broad community of people who have taken the trouble to study the evidence and open their data to each other have come to something close to a consensus .",gun control,NONE,train
Proponents of concealed carry say that criminals are less likely to attack someone they believe to be armed .,gun control,AGAINST,train
"Liberals sometimes make the mistake of anthropomorphizing guns , ascribing to them moral characteristics they do not possess .",gun control,AGAINST,train
"The failure of nearly every federal effort over the last 20 years to restrict gun access has shown this to be an effective strategy , and one that has trumped -- if not trampled -- public safety arguments .",gun control,AGAINST,train
"Requiring background checks on people before they purchase a gun is very smart , I agree , but who 's to say that the people who fail these background checks ca n't acquire guns from other sources .",gun control,NONE,train
"Sort of , except we do n’t want us to have them either .",gun control,NONE,train
What would gun control even mean at this point ?,gun control,NONE,train
"Fewer guns , better records on who has them , and some restrictions on purchase , possession and storage , gun control advocates argue , would still allow law-abiding people to have firearms , while resulting in far fewer deaths .",gun control,AGAINST,train
"None of this is to imply that in areas of well-armed civilians , the violent crime rate must go down .",gun control,FAVOR,train
"Proponents of more gun control laws argue that the Second Amendment was intended for militias ; that deadly and costly gun violence would be reduced ; and that a majority of Americans , including gun owners , support new gun restrictions .",gun control,FAVOR,train
The closest he ’s come to “ banning ” any gun is proposing reinstatement of the assault weapons ban that Clinton passed in 1994 .,gun control,FAVOR,train
"Dolly Singh , the CEO of the shoe design firm Thesis Couture , is explaining this as I walk in a prototype version of footwear that has thus far been , due to limitations that are only partially technological in nature , pretty much impossible to imagine : shoes that are at once extremely high and relatively comfortable to wear .",gun control,NONE,train
"Maybe this is tragic , but it is also reality .",gun control,NONE,train
"Creates Hostility In today ’s society , there is already quite a bit of animosity between the people and the government .",gun control,NONE,train
"Obama has failed to control his own Internal Revenue Service , yet assures us with the confidence of a man under constant armed protection that he can control who will be allowed to own a machine that is capable of killing indiscriminately .",gun control,NONE,train
The very tyranny our forefathers warned us about and set the Bill of Rights to protects us with .,gun control,AGAINST,train
Comment 33 people found this helpful .,gun control,NONE,train
Restricting inanimate objects such as weapons ( there are plenty of examples of homemade guns and ammunition ) is not enough to address the actual disease rather than the symptoms .,gun control,AGAINST,train
"What is needed , however , is a greater focus on education about firearms .",gun control,NONE,train
Those who want to live in a safer world will benefit from Lott 's findings .,gun control,NONE,train
"Last week , she campaigned in South Carolina with the families of gun victims , promising to take on the gun lobby as president .",gun control,NONE,train
"“ I ’m happy to consider the debate on the Second Amendment closed , ” Dan Gross , the Brady Campaign ’s president , told me recently .",gun control,NONE,train
"You could argue that it 's against your rights , but laws on drug consumption are also technically against your rights .",gun control,FAVOR,train
"“ The bulk of the burden on unifying the party , ” Ryan declared , “ will have to come from our presumptive nominee . ”",gun control,NONE,train
"An armed guard in a potential shooting location may cause the shooter to change their plan , but it will likely not deter them from committing the crime .",gun control,FAVOR,train
"Considering the kind of lifestyle that we lead , a lot of people are getting depressed and are many of those contemplate committing suicide .",gun control,NONE,train
"Two of them were local to Patchogue – Donald Gamarano , a retired teacher , and Louis Weise , who owns a salon in town .",gun control,NONE,train
"I do not propose that we take guns out of the hands of ordinary citizens , but that we make sure that those armed citizens are rational , well-informed and responsible members of society before we entrust them with guns .",gun control,FAVOR,train
"Almost every policy Donald Trump has championed is built around Pat Buchanan ’s positions on trade , treaties , and immigration .",gun control,NONE,train
"Just because someone is angry does n't always mean they will turn to violence because every person is different and just because they own a gun , does n't mean they are going to resort to pulling it out every time they get into an argument with their wife or child .",gun control,AGAINST,train
Taxes are not just a means to give away free shit .,gun control,NONE,train
"Consider automobiles , for example .",gun control,NONE,train
"According to Al Jazeera America , the bill allows family members or friends , who are concerned that a loved one may commit a violent act , to notify law enforcement .",gun control,NONE,train
"I strive hard to not judge , but I somehow feel the ones putting forward this argument either does n't understand the complexities associated with mental illnesses , have never had close association with mental illnesses -- or choose to act ignorant and defiant on the topic to serve some other agenda .",gun control,NONE,train
These are : ( 1 ) hypocrisy ; ( 2 ) reality ; ( 3 ) misapplication of blame ; and ( 4 ) discrimination .,gun control,NONE,train
A few states have assault weapon bans of their own that remain in place .,gun control,NONE,train
"The Major Cities Chiefs Association endorses closing the gun show loophole , strengthening the background check system , reinstating the assault weapons ban and other measures .",gun control,FAVOR,train
"Saying “ If we have gun control only outlaws will have guns ” is like saying “ If you outlaw drunk driving , only outlaws will drive drunk . ”",gun control,AGAINST,train
Before guns there was violence and mass killings .,gun control,AGAINST,train
"Her point — that when people do n’t have much , a single dollar in some ways does n’t go as far as it otherwise would — extends to several other parts of Americans ’ financial lives , including how they shop .",gun control,NONE,train
So the progs decided to move to Colorado where the luck was a bit better .,gun control,NONE,train
"The chairman of the faculty assembly , a physics professor named Jerry Peterson , told the Boulder Daily Camera , “ My own personal policy in my classes is if I am aware that there is a firearm in the class — registered or unregistered , concealed or unconcealed — the class session is immediately canceled .",gun control,FAVOR,train
"Although mental illness could be a contributing factor , it is not the cause .",gun control,NONE,train
"The key to protecting our democracy is not in having armed citizens , but informed ones .",gun control,FAVOR,train
"The various gun control proposals on today ’s agenda — including licensing , waiting periods , and bans on so-called Saturday night specials — are of little , if any , value as crime-fighting measures .",gun control,AGAINST,train
Anyone who cares about their 2nd amendment rights should read this book .,gun control,NONE,train
Will we have some kind of extensive mental health registry ?,gun control,NONE,train
Even the most desperately depressed rage-a-holic would pick a different target .,gun control,NONE,train
"Mark Schauf , Police Chief of Baraboo , WI , said , "" as police officers , we 're required to have training before we get our weapons and a certain number of training hours throughout the year .",gun control,FAVOR,train
"Many low-income shoppers , a study finds , miss out on the savings that come with making purchases in bulk .",gun control,NONE,train
The U.S. government beat the THIRD REICH .,gun control,NONE,train
It is generally in the interest of car owners to have a system that makes it readily apparent that they own their vehicles and can provide an obvious means of identification if stolen .,gun control,NONE,train
"He said Rodger had also said , "" His relative and this other person had taken things the wrong way , and he really was n't going to hurt anybody or himself . """,gun control,NONE,train
I expressed to Kopel my concern that the overly lax standards some states set for concealed-carry permitting means that the occasional cowboy gets passed through the system .,gun control,FAVOR,train
"This is a valuable guide to a more balanced understanding of the issue . """,gun control,NONE,train
"Indeed , it may be true that no amount of small arms could be useful against modern-day bombers and tanks .",gun control,FAVOR,train
"Sometimes , the term is also used to cover related matters , like limits on types of ammunition and magazines , or technology , like the type that allows guns to fire only when gripped by their owners .",gun control,NONE,train
The focus on the “ cons ” side of the debate surrounding the pros and cons of gun control .,gun control,NONE,train
"After the murder of his son , Tom Mauser became a gun-control activist .",gun control,NONE,train
"But when a person kills or wounds someone with a gun , we blame the gun .",gun control,AGAINST,train
"Therefore , Malum Prohibitum laws concerning firearms will not prevent a criminal from possessing or using a gun in the commission of a crime .",gun control,AGAINST,train
The world is n’t perfect … and you ca n’t regulate it to perfection .,gun control,AGAINST,train
"Hollow points are n't particularly complex : it is legal to purchase , sell , transport , own , and fire them .",gun control,NONE,train
Are you against guns in the home ?,gun control,NONE,train
"The highest crime rates in 2012 were in the South , where gun ownership is at its highest .",gun control,FAVOR,train
Harris found the boy under a table in the school library .,gun control,NONE,train
"If a criminal is going to break the law , they will find a way .",gun control,AGAINST,train
"No , they ’re not , and no it ’s not .",gun control,NONE,train
The Canadians have registered handguns since the 1930s .,gun control,FAVOR,train
He also had a shotgun and a pistol .,gun control,NONE,train
"Aside from getting some laughs at another brave Second Amendment soldier , I mention this exchange to make a specific point .",gun control,NONE,train
"He said he understood and respected the demonstrators ’ opinion , but was not convinced the NRA was responsible for gun problems in America .",gun control,AGAINST,train
"I got blasted in my head , neck , and face — my whole upper body — by shotgun pellets . ”",gun control,NONE,train
"Some states have more stringent background check systems than the federal one , for example , and some require checks before private sales like those at gun shows .",gun control,FAVOR,train
"But what if , in fact , the reverse is true ?",gun control,NONE,train
"Takes Power From The People It is a constitutional right to be able to have weapons to defend yourself , including guns .",gun control,AGAINST,train
"Opponents of gun control are always quick to question how many victims of knives , clubs , and strangulation would be alive if they had had a gun .",gun control,NONE,train
Here 's Why I 'm Supporting Donald Trump .,gun control,NONE,train
