Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
@realDonaldTrump EXPERTS like #DrFauci got AMERICANS hooked on opioids and now says a DRUG isn’t QUALIFIED? #Hydroxychloroquine #COVID19,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"Thank you for flip flopping on the mask issue, helping cdc and who to spread their fear porn, and for playing a role in dismantling the American middle class.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@donaldrusso994 For his huge ego!! He wanted another attempt at a vaccine since the HIV one didn’t work out. America be damned.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@LonnieSpray @SusanStJames3 He gets my vote and all my dead relatives votes if he fires Fauci before November 

#FireFauci 
#FireFauci",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@smart_whit @crotts_dan Just when you think you're the greatest, someone reminds you of that last stupid thing said. January, Corona virus, we're safe :thinking_face:Hmm #DrFauci",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@piersmorgan I don’t know, you should check what they actually died from. As per #DrFauci and #DrBrix even if you die from a trip and fall but you test positive for the virus it’s a #COVID19 death! Why are they lying????",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@realDonaldTrump WTF, NOW WE NEED TO LISTEN TO THE KING OF #PANICPORN AGAIN??!!! #FraudFauci",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
Mask mandates are unconstitutional! #RecallGavin2020 #RecallGavinNewsom #FireFauci,fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"@johnnymcqueen4 I feel it with every fibre of my being these virus tests are being tampered with, fabricated, exaggerated in any way possible to feed the #Agenda21 narrative. A totak #Scamdemic in every way and we just need people to wake up, trust their instincts. #fakevirus",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
I am all set with #DrFauci the stuff that comes out of his mouth on #Coronavirus he contradicts himself a month later.  #Trump needs to set this guy free and like NOW!!,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.26E+18
@IminHisbook @Julietknows1 3-4 million Americans will die! No Masks! 98-99% survival rate Masks On! Sex with strangers OK! Hand shaking NOT OK! Right,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"#FireFauci . . . he flip flops more than a #democrat on the campaign trail.

#DrFauci has lost all credibility with his lack of consistency and dire warnings.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@thehill Fauci can kiss my ass.
He's not an economist.
He's lied, he's been caught lying.
He's been WRONG about everything.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"#DrFauci Fucked Around
Kissing Trump's Ass
Letting #Trump Lie
Like A Little Runt Mafia Dago Pimp
AND NOW
Months Later
WHEN WE'RE ALL FUCKED
The Little GREASEBALL
Shows Signs
Of Stabbing His Mob Boss
In The Back

The Little Shits
Trying To Save His Own Ass
WE WONT FORGET

#COVID19",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@Phreadys Dr. Fauxci made his fortune selling bad medicine, bad vaccines, and bad advice.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Why is the mainstream Media refusing to report on #DrFauci in funding the Wuhan lab for $millions on gain-of-function for coronavirus?,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.26E+18
@TX_WalkerRanger Overrated “scientist”,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@PlankaDabren He'll claim Cov19 has a different strain or some BS.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
There’s literally people out there that look at Fauci as an expert... it must be exhausting being wrong and flip flopping on the daily.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@Thomas1774Paine It’s about time someone the left sees the truth anout Fauci.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"@realDonaldTrump Fauci is literally killing people by hindering ability to access HCQ. Lockdown ruined lives, depression huge problem. Looks bad you keep him on.

Why ????",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@WarrenJPierce @hsbanik @KraigtheBunny @SpinneyJr @MercerCreed @kidbrewer @FiestyKiwi @MitchellGuyon @Acknowledgerea3 @JayCory7 @ADevotedYogi @KumbarRajesh @TheTruthFairy4 @Heather012177 @_White__Rabbit @CrystalLozano4 @LisaSing75 @COCrowe @PhillipDenton @EricO_2020 @Lorrain86857415 @Janesmi74403686 @suprdupe @bkmoore777 @Jah18186004 @TideFanJoe @JackieO69045443 @TheTrollHunte14 @SockRocket2019 @stevendem @sham786364 @natehansen42 @sacmac11 @mannazesq @Gummbyman32 @forcemultipler @HerpesMichael @nzhippygirl @SGijora @AdHomin1711 @ShaktiForTrump @WhoFeedsYou @JDavidBourne1 @rygh_sherrie @iflysims70 @kruttika108 @G2Precision @LisaSwartz8 @thedjrichyb @mpo619 Fauci:
Failed as a clinician.

Fauci:
Failed on AIDS.

Fauci:
Failed on SARS.

Fauci:
Failed on H1N1.

Fauci in January; ""Covid-19 not a threat. Masks don't work.""

Fauci 2005; ""HCQ is a wonder drug for Corona Virus!""

Fauci now; ""HCQ"" What's that?.""",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@RonaldKlain You found a list? Now tweet this...

 Where is the plan that allows us to use the HCQ as they had already tested and approved in 2005. #DrFauci 
Would have saved over 80k US lives at a 92% global success rate?  
Ask the right questions
#COVID19",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.26E+18
"@DC_Draino The high CO2 &amp; low oxygen caused by the MASK impaired Fauci's throw.

P.S.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@zeusFanHouse That’ll do, Pig. That’ll do. #FireFauci",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@WSJ Be sure to ask Fauci about his financial interest in remdesivir and any COVID-19 vaccine.  Doubtful he will want to disclose this.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@BilldeBlasio @FilmLinc Tell @BarbraStreisand that her boy toy in March was advocating to hit the sights in NYC. So was #DrFauci 

#LiberalsRuinEverything #COVID19",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
@drdavidsamadi @ZupancicJareen I hate this little hypocritical little nerd! #DrFraudFauci,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"This is why sane people don't believe Fauci anymore.  Hypocrite watching baseball (when he said fans can't go), not social distancing  and wearing a mask.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@EpochTimes new infections or increased testing? how many deaths?????? good.... off with the face diapers! and,fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
#DrFauci approved a $3.7 million grant of US tax dollars to #Wuhan to fund the creation of #COVID19,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.26E+18
"#DrFauci has been in charge of infectious disease for 30 years? 

If that’s true why isn’t HE responsible for the response to #coronavirus ?

#CoronaUpdate @realDonaldTrump",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.24E+18
"@JoeBiden Then take your mask off because your “medical expert” says they don’t do anything to protect you but may make you “feel “ better. 
",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"@RudyGiuliani Wait wtf? :rolling_on_the_floor_laughing::joy:

Fauci has to go.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
I bet Dr. Fauci throws like a girl.  Will he wear his mask?,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
#DrFauci has been awfully quiet during these #protests. #COVID19 #coronavirus #Floyd,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.27E+18
@TX_WalkerRanger I do not think he is a fraud. I KNOW he is a fraud! #faucifraud #FauciTheFraud,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
If a doctor was a wrong about your health constantly. “This medication won’t work” “You’ll be fine” “Your going to die in 2 months” Would you keep your doctor?,fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
@jaketapper Then maybe you should talk to the DOCTOR who said masks weren’t needed in February &amp; March!!!!!!   #DrFauci,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@FieldofFight I believe Fauci is a fraud!!,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"These #CoronaVirus doctors are not right in the head!  That just fell out of my mouth!  
#DrBirx #DrFauci 

#coronavirus #ChineseVirus #Quarantine",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"²/³February 
-Fauci was wrong about the first coronavirus death (it was the 6th, not the 29th)
-29th:Fauci said movies, gyms and malls are ok.
""Dr. Fauci"" Ratings #FauciIsAHero",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@keenhaboo @HillaryClinton #CommunistChina is responsible for the spread &amp; the origins of the #WuhanCoronaVirus not one single  American citizen is responsible. #DrFauci &amp; the #CDC seem to have have no more information then they did 5 months ago. Except #Fauci flip flopping on #FaceMasks,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@SaraCarterDC BS this guy has created chaos in the country!! Enough with games being glorified and real people being trapped in their homes masked !!,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@chuckwoolery @TTysonToni1 @gatewaypundit This is all part of a large misinformation campaign. Trying to classify as many deaths as possible in the category of Coronavirus makes the numbers inflated and distorted. It also wreaks of politics.,fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.25E+18
Any business owner I know would fire any employer as incompetent as #DrFauci #EndTheShutdown #BacktoWorkAmerica #Covid_19 #COVIDー19 #ChineseVirus #coronavirus #COVID__19 #BackToWork #PoliceState #TrustTrump #theresaplan #heknows #Wuhan #ChinaLiedAndPeopleDied #ChinaVirus #China,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
Hey @NIH @NIAIDNews #DrFauci needs to get off the #vaccine train and focus on therapies that can be available now or asap! #coronavirus #makeamericahealthyagain,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.27E+18
"DemocRATs live on racism, so here you go, Fauci is the dumbest white man God every created! @realDonaldTrump @MAGA @KAG @NRA @RNC @DNC @FoxNews @CNN #TrumpTrain2020 #COVID19 #CoVFeFe  #DemocratsHateAmerica",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.26E+18
".@POTUS .@realDonaldTrump .@VP .@Mike_Pence No that little dip-shit #DrFauci, didn’t just turn this whole #CoronaVirus hysteria into a racial debate?:confounded::rage:

I didn’t know a #Virus chose it’s host based off the pigment of a person’s skin. That guy....:man_facepalming:

#CoronaVirusUpdate #COVID19",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@MsGambino1 @TrumpT1776 @Jim_Jordan I can't stomach #Fauci. His voice is like fingernails on a chalkboard.
#FireFauci",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@IngrahamAngle Ask Dr Judy Mikovits how corrupt Dr Fraudci is???,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Been reading that people are finally starting to call out #Fauci.

Wonder what was the straw the broke the camels back?

Was it when he lied about the models? Or the masks? Perhaps when he lied about HCQ? 

Or was it the millions of dollars he sent to Wuhan lab?",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@8rareddy Classic!  The king of #COVID19 I’m sure they all got a chuckle out of that one.   Have you looked at this mans background and crimes against humanity?  #FauciFraud,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"The definition of insanity is doing the same thing over and over, getting the same result, then denying the process. #HCQCURES #Hydroxychloroquine #FauciFraud",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"#DrFauci lied about needing masks early on because he wanted medical workers to have supplies. Has anyone asked him how many citizens died because he made them feel masks weren't necessary?  
#COVIDー19 #MaskUp morons
#Scamdemic #FakeNews #FakeNumbers #Qanon #WWG1WGA",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
How does #DrFauci know that #socialdistancing stops #coronavirus or any :microbe:? This is first time ever when humans do this experiment. Also how does he know that #StayHome works too? Are there studies say that these methods help to stop pandemics? I hear this for the first time.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.25E+18
@michaeljknowles Hahaha! Out in the MIDDLE of a field wearing a mask. Seated in bleachers - No Mask. Ridulous #Hypocrites. #FauciFraud #FauciFraud,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@Susicuespin @toddgillman @mmcauliff Masks don’t save@lives.,fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
@alexsalvinews Guy needs some vitamins and healthy food and some regular exercise. It appears he has the ‘Uncoordinated’ virus. This is purely due to lack of growth from Wearing a mask and too many vaccines. Get well soon,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@koa_zar @ezrateach @Rasmussen_Poll Once the actual numbers of corona virus deaths are released, there will be an uproar! We the people have been lied to from day one about this virus. Fake numbers on deaths and infection rates. #Plandemic",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@Joe_superhandym @AndreaKhne1 #DrFauci gave total of $7.4 Million to Wuhan lab for research on how to migrate corona virus from bats to human.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.26E+18
Love this COVID surge. Didn't take #DrFauci and #MSM long to get back to this? They will try everything to lock us down again. Mandating masks and stopping travel is just the beginning ....,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@realDonaldTrump Dr. Fauci, FDA, CDC is letting sick Americans die because there waiting on this vaccine??? #HCQW0RKS 
Dr's hands are being tied!
Who is going to profit from this miracle vaccine?",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"When a commercial comes on it's either Dovota the HIV treatment OR something #CoronaVirus #SaferAtHome  #QuarantineQuotes 
Something to ponder, #DrFauci is involved in BOTH.  #HIV &amp; Now #COVID19 
It's only the last FEW years HIV testing was standardized",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@DavidAFrench @Jennanjack There’s never been a mask war. I wear one in public buildings, it’s about unconstitutional mandates. These are things all Americans use to agree on. And dumb ass #DrFauci lying in the first place.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@JNostrabor @ifindkarma @CookKCEgyptian @COVKIDProject He had a mask on in the middle of the baseball field with hardly anybody around him. Why? For show. #bye,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@TrumpWarRoom Make sure this gets to patients Reminder - Aug 1 2020: 66 studies confirm the effectiveness of hydroxychloroquine. Deafening silence of the Mainstream Medias, unacceptable mediatic lockdown. #Hydroxychloroquine #Hydroxychloroquineworks #Trump #coronavirus #COVID19",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1.29E+18
@chuckwoolery @catturd2 Fauci has never been right about anything.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@GKeile Fauci is no more a scientist than Bill Nye,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@MiaPhoenix3 @VoiceOfCanada4 Me too, tired of all this, time to return to real normal, not this paranoid faggotty assed pussy shit mentality of saaaafety and not triggering the perpetually outraged and offended mob

#Returntonormal #cancelcancelculture #EnoughIsEnough",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"@WayneDupreeShow Yeah, yeah, Americans are outraged but everyone will continue on like good little sheep and wear the mask!  Time to protest America, this guy is a lying, hypocrite POS.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"""Dr. Fauci ,""
is a False Narrative! Speaking of... #POISON  for #PROFIT, false prophets &amp; antichrists. #FEAR is a #LIAR. Ps.
FEAR induces #CYTOKINES btw. Stop freaking pretending Jesus didn't warn You, any of You about the Masks, Initiations, Rituals, &amp;  #MOTB!",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@Phreadys No! I’m so ready for his firing! @realDonaldTrump please,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@POTUS please ask #DrFauci are we having trouble getting #coronavirus under control or is NEW YORK having trouble getting #coronavirus under control? #OpenTheEconomy,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@w_terrence @AKM_3014 Just a reminder that #Fauci funded the same #WuhanLab bat study that resulted in the #coronavirus

#COVIDー19 #COVID19 #COVIDIOTS #lockdown #COVID #DrFauci",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.26E+18
"@HoneyFitz93 #QAnon #TheGreatAwakening #FakeNewsMedia #DrainTheSwamp 
and don't forget to spread #BillGatesIsEvil which includes #DrFauci #DrBirx #BigPharma #COVID19 #coronavirus #COVID2019 #COVIDCanada",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@vintage_cams @Msdesignerlady @mmpadellan Exactly! This Fauci dik created and attempted to monopolize a vaccine, then went public with a false rhetoric that aids/hiv would infect at least 10% of the heterosexual population... it never went above 4%, but this dik lied repeatedly to sell more product...",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@IngrahamAngle Cuomo forced nursing homes to keep their covid-sick patients resulting in thousands death! 

Fauci has been wrong on just about everything.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@JoyByrnes3 I know - he's a liar. Fauci was talking at the man to his right - without a mask.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@FauciFan RandPaul Thank you,Thank you..just watched your question/answer session with Fauci...Loved everything you said, a dozen countries,  hundreds of millions of people have reopened schools and ZERO new transmission.AMAZING to see someone in Gov has common sense",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.28E+18
"#Quarantine is for the sick - not the healthy.

Quarantining healthy people is #quackery.

#DrFauci is a quack.

The #CDC and #WHO are corrupted by the #MedicalIndustrialComplex.

#BillGates wants to force-vaccinate you and require PAPERS to leave your house.

Wake up!

#COVID19",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.26E+18
"I’ve always been suspicious of #DrFauci as everything.... I mean EVERY. THING....he said was proven WRONG! Every model. Every statement on covid vaccines....wrong!

#coronavirus
#covid19
#theRona
#HCQWorks 
#hydroxychroloquine",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@Jamierodr14 @USNoodlesA @realDonaldTrump Time to #FireFauci,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@DisavowTrump20 Fauci is the devil, and he should be locked up in jail for treason.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@CDCgov needs to answer some questions,  since their ""guidelines"" are wreaking havoc on our country. Before, Fauci said no need to wear masks before since he ""wanted to save them for med staff"". Does that mean he no longer cares if med staff have masks? Why not??",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
They are forcing us to adhere to “guidelines” not LAWS. We need to go to COURT!,fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
@CNN Can someone stop Dr Fraudi talking? He's caused enough pain and suffering. 17m without jobs so far... #coronavirus,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
@mitchellvii You’re in bed with deep state. #fakefauci.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@4YrsToday Correctly identifying an elephant doesn’t make him a coronavirus expert.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Is anyone listening to #DrFauci anymore?

#Fauci, #FakeNews &amp; #DeepState #Democrats are starting 2nd wave of #COVID19 #Hoax. 

Don't fall for that #LockDown crap again!

98% RECOVER FROM CORONAVIRUS!

98% RECOVER FROM CORONAVIRUS!

98% RECOVER FROM CORONAVIRUS!

#WakeUpAmerica",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.27E+18
"@OpeningDayNFL I was hoping we were on the one yard line... If only on the 50 yard line, the country will collapse by the time we get to the end zone... Look at the charts again #DrFauci 
#DrainTheSwamp #MAGA #istandwiththepresident #coronavirus #CoronavirusPandemic #China",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.25E+18
".@marklevinshow What you’re doing like you ALWAYS do. You’re putting COMMONSENSICAL, CRITICAL-THINKING to all of #COVID19 #FearMongering #’s. That has taken over the raines of our damn country, AND @realDonaldTrump &amp; @Mike_Pence are under the modeling spell of #DrFauci &amp; #DrBirx!",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@HenryMakow Don't believe a word of those fucking #FakeJews and resist

Refuse to obey satanic tyranny

#CoronaHoax #LiesLiesLies #BillGatesIsEvil #FauciIsAFraud #Fraudci",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@JerryDunleavy Fauci is a fraud, along with his media cohorts fearmongering the American people over a virus yhat has a 99.4% survival rate!
Take your masks, and kindly shove them where the sun don't shine!",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Reminder:

#DrFauci’s statements from January to March were WRONG about #COVID19!

-It’s not a threat to the #USA
-#Americans don’t need to “run around” in masks
-Hydroxychloroquine does not work
-Lockdowns are right, STILL

#WeThePeople should not be listening to Dr Fauci!",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.26E+18
"#DrFauci  - The LITTLE MAN - Who's pushing the Gates vaccine while HEAVILY INVESTED IN THE BIG PAYOFF.

CAN KISS MY ASS.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@CBSNews :middle_finger_light_skin_tone::middle_finger_light_skin_tone::middle_finger_light_skin_tone: Dr.foulcheese has proven to be a pathological liar.,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@BostonGlobe @Greymantle When the @BostonGlobe admits covid 19 is a hoax. It's the flu, just this years flu there's a new one every year. There are multiple cures, the hoax is saying there isn't. They have capitalized on ignorance to sell a lie and destroy America.",fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
#FakePandemic #FakeNews #COVID19 cases are getting more and more #DrFauci is an imbecile he’s just a hater #HydroxyChloroquine works he just wants to keep his fame and fake pandemic going . If I’m not seeing dead bodies everywhere it’s an overreaction! Bullshit pandemic,fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@catturd2 @Dslayer298 Unfortunately, until @realDonaldTrump kicks the soapbox out from underneath Dr. Fauci, the Democrats will still have their go to excuse, to continue their state shutdowns and mask mandates. Why President Trump is keeping him around goggles the mind.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@newsmax Absolutely not. The cdc is saying this isnt even an epidemic anymore as deaths are way down. This clown needs to be fired and jailed for destroying millions of lives with unnecessary lockdowns.,fauci,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"@sav_says_ ""Clinical consequences of #COVID19 may ultimately be more akin to those of a severe seasonal influenza (which has a case fatality rate of approximately 0.1%)""-#AnthonyFauci in NE Journal of Medicine.

The world closed its economy for this?",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.25E+18
"@andersoncooper #DrFauci was never sidelined by @WhiteHouse as insinuated on @CNN, Dr should up his spirit of team-work. We shall overcome #Covid19 sooner than we all think.",fauci,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.26E+18
